recruiter,8,francesca.rossi@talenthunt.it,,Francesca,Rossi,FraRossi,0,0,9
User,14,prox@gmail.com,Prox_profile_pic.jpg,Carlo,Proserpio,Prox,,,
User,24,gervaso@puntocom.com,Evy_profile_pic.jpg,Evelyn,Lucchetti,Evy,,,
User,27,flora@gian.com,,Flora,Giannetti,Flora,,,
User,29,bianca@black.it,,Bianca,Neri,Bianca,,,
User,31,user@user,,user,user,User,,,
User,33,p@p.p,,prova,prova,prova,,,
User,35,p@p.p,,p,p,provaa,,,
recruiter,11,lorenzo.verdi@workfinders.it,,Lorenzo,Verdi,LolloVerdi,1,1,12
recruiter,5,alessandro.bianchi@recruiters.it,,Alessandro,Bianchi,AleBianchi,1,0,6
recruiter,39,paolo@palli.recruiter.it,PaoloPalli_profile_pic.jpg,paolo,palli,PaoloPalli,0,0,40
